model,feature_matrix,accuracy,precision,recall,f1_score
KNN,word_1_100,0.82,0.88461538,0.79310345,0.83636364
KNN,word_2_100,0.72,0.68292683,0.96551724,0.8
KNN,word_3_100,0.76,0.77419355,0.82758621,0.8
KNN,word_1_500,0.94,0.96428571,0.93103448,0.94736842
KNN,word_2_500,0.9,0.875,0.96551724,0.91803279
KNN,word_3_500,0.72,0.85714286,0.62068966,0.72
KNN,word_1_1000,0.9,0.875,0.96551724,0.91803279
KNN,word_2_1000,0.9,0.875,0.96551724,0.91803279
KNN,word_3_1000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_2000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_2000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_2000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_3000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_3000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_3000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_4000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_4000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_4000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_5000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_5000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_5000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_6000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_6000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_6000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_7000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_7000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_7000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_8000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_8000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_8000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_9000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_9000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_9000,0.64,0.72,0.62068966,0.66666667
KNN,word_1_10000,0.82,0.85714286,0.82758621,0.84210527
KNN,word_2_10000,0.92,0.90322581,0.96551724,0.93333333
KNN,word_3_10000,0.64,0.72,0.62068966,0.66666667
Logistic Regression,word_1_100,0.9,0.92857143,0.89655172,0.9122807
Logistic Regression,word_2_100,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_100,0.82,0.79411765,0.93103448,0.85714286
Logistic Regression,word_1_500,0.94,0.96428571,0.93103448,0.94736842
Logistic Regression,word_2_500,0.84,0.88888889,0.82758621,0.85714286
Logistic Regression,word_3_500,0.84,0.83870968,0.89655172,0.86666667
Logistic Regression,word_1_1000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_1000,0.86,0.86666667,0.89655172,0.88135593
Logistic Regression,word_3_1000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_2000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_2000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_2000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_3000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_3000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_3000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_4000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_4000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_4000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_5000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_5000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_5000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_6000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_6000,0.86,0.89285714,0.86206897,0.87719298
