model,feature_matrix,accuracy,precision,recall,f1_score
KNN,word_1_100,0.892,0.875,0.91056911,0.89243028
KNN,word_2_100,0.828,0.75641026,0.95934959,0.84587814
KNN,word_3_100,0.7,0.85294118,0.47154472,0.60732985
KNN,word_1_500,0.924,0.90625,0.94308943,0.92430279
KNN,word_2_500,0.724,0.64516129,0.97560976,0.77669903
KNN,word_3_500,0.828,0.78571429,0.89430894,0.8365019
KNN,word_1_1000,0.94,0.921875,0.95934959,0.94023904
KNN,word_2_1000,0.624,0.56682028,1.0,0.72352941
KNN,word_3_1000,0.72,0.72268908,0.69918699,0.7107438
KNN,word_1_2000,0.932,0.90769231,0.95934959,0.93280632
KNN,word_2_2000,0.592,0.54666667,1.0,0.70689655
KNN,word_3_2000,0.688,0.65306122,0.7804878,0.71111111
KNN,word_1_3000,0.936,0.89051095,0.99186992,0.93846154
KNN,word_2_3000,0.588,0.54424779,1.0,0.70487106
KNN,word_3_3000,0.656,0.5978836,0.91869919,0.72435898
KNN,word_1_4000,0.92,0.86013986,1.0,0.92481203
KNN,word_2_4000,0.58,0.53947368,1.0,0.7008547
KNN,word_3_4000,0.664,0.60540541,0.91056911,0.72727273
KNN,word_1_5000,0.916,0.85915493,0.99186992,0.92075472
KNN,word_2_5000,0.584,0.54185022,1.0,0.70285714
KNN,word_3_5000,0.64,0.59763314,0.82113821,0.69178082
KNN,word_1_6000,0.908,0.85211268,0.98373984,0.91320755
KNN,word_2_6000,0.572,0.53478261,1.0,0.69688385
KNN,word_3_6000,0.668,0.60638298,0.92682927,0.73311897
KNN,word_1_7000,0.908,0.85211268,0.98373984,0.91320755
KNN,word_2_7000,0.552,0.52340426,1.0,0.68715084
KNN,word_3_7000,0.62,0.56603774,0.97560976,0.71641791
KNN,word_1_8000,0.908,0.85211268,0.98373984,0.91320755
KNN,word_2_8000,0.552,0.52340426,1.0,0.68715084
KNN,word_3_8000,0.616,0.56338028,0.97560976,0.71428571
KNN,word_1_9000,0.908,0.85211268,0.98373984,0.91320755
KNN,word_2_9000,0.548,0.52118644,1.0,0.68523677
KNN,word_3_9000,0.604,0.55555556,0.97560976,0.70796461
KNN,word_1_10000,0.908,0.85211268,0.98373984,0.91320755
KNN,word_2_10000,0.864,0.79084967,0.98373984,0.87681159
KNN,word_3_10000,0.592,0.55121951,0.91869919,0.68902439
Logistic Regression,word_1_100,0.92,0.90551181,0.93495935,0.92
Logistic Regression,word_2_100,0.88,0.83941606,0.93495935,0.88461539
Logistic Regression,word_3_100,0.832,0.76470588,0.95121951,0.84782608
Logistic Regression,word_1_500,0.956,0.9375,0.97560976,0.9561753
Logistic Regression,word_2_500,0.928,0.90076336,0.95934959,0.92913386
Logistic Regression,word_3_500,0.928,0.88321168,0.98373984,0.93076923
Logistic Regression,word_1_1000,0.976,0.96062992,0.99186992,0.976
Logistic Regression,word_2_1000,0.92,0.88148148,0.96747967,0.92248062
Logistic Regression,word_3_1000,0.932,0.90151515,0.96747967,0.93333333
Logistic Regression,word_1_2000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_2000,0.944,0.91603053,0.97560976,0.94488189
Logistic Regression,word_3_2000,0.936,0.91472868,0.95934959,0.93650793
Logistic Regression,word_1_3000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_3000,0.96,0.9379845,0.98373984,0.96031746
Logistic Regression,word_3_3000,0.948,0.9296875,0.96747967,0.94820717
Logistic Regression,word_1_4000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_4000,0.96,0.9379845,0.98373984,0.96031746
Logistic Regression,word_3_4000,0.932,0.90769231,0.95934959,0.93280632
Logistic Regression,word_1_5000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_5000,0.956,0.9375,0.97560976,0.9561753
Logistic Regression,word_3_5000,0.932,0.90769231,0.95934959,0.93280632
Logistic Regression,word_1_6000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_6000,0.956,0.9375,0.97560976,0.9561753
Logistic Regression,word_3_6000,0.936,0.90839695,0.96747967,0.93700787
Logistic Regression,word_1_7000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_7000,0.96,0.94488189,0.97560976,0.96
Logistic Regression,word_3_7000,0.94,0.91538462,0.96747967,0.94071146
Logistic Regression,word_1_8000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_8000,0.96,0.94488189,0.97560976,0.96
Logistic Regression,word_3_8000,0.936,0.91472868,0.95934959,0.93650793
Logistic Regression,word_1_9000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_9000,0.956,0.9375,0.97560976,0.9561753
Logistic Regression,word_3_9000,0.936,0.91472868,0.95934959,0.93650793
Logistic Regression,word_1_10000,0.984,0.976,0.99186992,0.98387097
Logistic Regression,word_2_10000,0.952,0.93023256,0.97560976,0.95238096
Logistic Regression,word_3_10000,0.94,0.921875,0.95934959,0.94023904
Multinomial Naive Bayes,word_1_100,0.92,0.88721805,0.95934959,0.921875
Multinomial Naive Bayes,word_2_100,0.864,0.81560284,0.93495935,0.87121212
Multinomial Naive Bayes,word_3_100,0.816,0.74213836,0.95934959,0.83687943
Multinomial Naive Bayes,word_1_500,0.948,0.9296875,0.96747967,0.94820717
Multinomial Naive Bayes,word_2_500,0.908,0.88461538,0.93495935,0.90909091
Multinomial Naive Bayes,word_3_500,0.912,0.86330935,0.97560976,0.91603053
Multinomial Naive Bayes,word_1_1000,0.968,0.95275591,0.98373984,0.968
Multinomial Naive Bayes,word_2_1000,0.936,0.92125984,0.95121951,0.936
Multinomial Naive Bayes,word_3_1000,0.924,0.9,0.95121951,0.92490118
Multinomial Naive Bayes,word_1_2000,0.972,0.96031746,0.98373984,0.97188755
Multinomial Naive Bayes,word_2_2000,0.968,0.96,0.97560976,0.96774194
Multinomial Naive Bayes,word_3_2000,0.932,0.94166667,0.91869919,0.93004116
Multinomial Naive Bayes,word_1_3000,0.98,0.9609375,1.0,0.98007968
Multinomial Naive Bayes,word_2_3000,0.976,0.97560976,0.97560976,0.97560976
Multinomial Naive Bayes,word_3_3000,0.92,0.93277311,0.90243902,0.91735537
Multinomial Naive Bayes,word_1_4000,0.988,0.97619048,1.0,0.98795181
Multinomial Naive Bayes,word_2_4000,0.98,0.99166667,0.96747967,0.97942387
Multinomial Naive Bayes,word_3_4000,0.932,0.94915254,0.91056911,0.92946058
Multinomial Naive Bayes,word_1_5000,0.988,0.97619048,1.0,0.98795181
Multinomial Naive Bayes,word_2_5000,0.98,0.99166667,0.96747967,0.97942387
Multinomial Naive Bayes,word_3_5000,0.928,0.94117647,0.91056911,0.92561984
Multinomial Naive Bayes,word_1_6000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_6000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_6000,0.928,0.94117647,0.91056911,0.92561984
Multinomial Naive Bayes,word_1_7000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_7000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_7000,0.936,0.94957983,0.91869919,0.9338843
Multinomial Naive Bayes,word_1_8000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_8000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_8000,0.928,0.94871795,0.90243902,0.925
Multinomial Naive Bayes,word_1_9000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_9000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_9000,0.936,0.95726496,0.91056911,0.93333334
Multinomial Naive Bayes,word_1_10000,0.98,0.97580645,0.98373984,0.97975709
Multinomial Naive Bayes,word_2_10000,0.984,0.99173554,0.97560976,0.98360656
Multinomial Naive Bayes,word_3_10000,0.94,0.96551724,0.91056911,0.9372385
Support Vector Machine,word_1_100,0.936,0.928,0.94308943,0.93548387
Support Vector Machine,word_2_100,0.896,0.87022901,0.92682927,0.8976378
Support Vector Machine,word_3_100,0.84,0.79020979,0.91869919,0.84962406
Support Vector Machine,word_1_500,0.98,0.97580645,0.98373984,0.97975709
Support Vector Machine,word_2_500,0.952,0.95121951,0.95121951,0.95121951
Support Vector Machine,word_3_500,0.932,0.90151515,0.96747967,0.93333333
Support Vector Machine,word_1_1000,0.988,0.99180328,0.98373984,0.9877551
Support Vector Machine,word_2_1000,0.968,0.97520661,0.95934959,0.96721311
